"","aegopodiids","airid","ajugids","androsaceids","aparinids","arabids","arrhenaterid","asperulids","bellid","bryonids","convolvulid","cornids","eleocharid","empetrid","epipactids","equisylvatids","eranthids","fagids","fragariids","gypsophilids","hederids","hierochloids","illecebrids","junceffusids","linariid","loiseleureid","minuartid","moliniid","mugids","myrtillids","nardid","oxalids","piceids","polygonatids","primulids","quercids","ranunculids","rosids","sambucids","sarothamnid","thymids","tiliids","trientalids","trisetid","verbascids"
"1",0.242214532871972,0,0.211072664359862,0,0.00346020761245675,0,0.207612456747405,0.0069204152249135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00346020761245675,0,0,0,0,0.00346020761245675,0,0,0,0,0.207612456747405,0,0,0.041522491349481,0,0,0,0,0,0.0346020761245675,0,0,0,0.0380622837370242
"2",0,0,0.0107181136120043,0.00107181136120043,0.00107181136120043,0.00107181136120043,0.129689174705252,0.0653804930332261,0.0235798499464094,0,0,0.00214362272240086,0,0.00214362272240086,0.0107181136120043,0,0,0.00214362272240086,0.0643086816720257,0.0246516613076099,0,0.0107181136120043,0,0,0.0107181136120043,0.0643086816720257,0.00107181136120043,0.0107181136120043,0,0.00107181136120043,0.440514469453376,0,0.00107181136120043,0,0.015005359056806,0.0107181136120043,0.00107181136120043,0,0,0,0.0128617363344051,0.00107181136120043,0,0,0.0803858520900322
"3",0,0,0.013531799729364,0,0.004510599909788,0.0004510599909788,0.117275597654488,0.0009021199819576,0.004510599909788,0,0,0,0,0,0.004510599909788,0,0.004510599909788,0,0.27063599458728,0.027063599458728,0,0,0,0,0.0365358592692828,0,0.004510599909788,0.0049616599007668,0,0,0.126747857465043,0,0,0,0.153360396932792,0,0.0681100586377988,0,0,0,0.027063599458728,0,0,0.126296797474064,0.004510599909788
"4",0,0,0,0.00075642965204236,0.0075642965204236,0.00983358547655068,0.0075642965204236,0.0075642965204236,0,0,0,0,0,0,0.00075642965204236,0,0.0075642965204236,0,0.0529500756429652,0,0,0,0,0,0.0158850226928896,0.151285930408472,0.0453857791225416,0,0,0,0.515128593040847,0.0075642965204236,0,0,0.0529500756429652,0,0.0907715582450832,0,0,0,0.00907715582450832,0,0,0.00832072617246596,0.00907715582450832
"5",0,0,0.9375,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0
"6",0,0,0.0110599078341014,0,0.000921658986175115,0.0101382488479263,0,0.000921658986175115,0.0119815668202765,0,0,0,0,0.00921658986175115,0,0,0.00921658986175115,0,0.00921658986175115,0.00921658986175115,0,0,0,0,0.00921658986175115,0,0,0,0,0.00921658986175115,0.377880184331797,0.00921658986175115,0,0,0.240552995391705,0,0.0746543778801843,0,0,0,0.0663594470046083,0,0,0.0101382488479263,0.130875576036866
"7",0,0,0.000406008932196508,0,0.000406008932196508,0,0,0.215590742996346,0,0,0.000406008932196508,0,0,0,0.000812017864393017,0,0,0,0.000406008932196508,0,0,0,0.00406008932196508,0,0.00406008932196508,0,0,0.000406008932196508,0,0,0.048721071863581,0,0,0,0.000406008932196508,0,0.0129922858302883,0,0,0,0,0,0,0.000406008932196508,0.710921640276086
"8",0.00224215246636771,0,0,0,0.0224215246636771,0.00224215246636771,0,0,0,0,0,0.00224215246636771,0,0.00448430493273543,0.00224215246636771,0,0,0,0.00224215246636771,0.134529147982063,0,0.00224215246636771,0,0,0.00224215246636771,0.0224215246636771,0,0,0,0,0.0246636771300448,0.448430493273543,0,0,0.00224215246636771,0,0.00448430493273543,0,0,0,0.291479820627803,0,0,0.0224215246636771,0.00672645739910314
"9",0.0350877192982456,0,0,0,0.736842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00350877192982456,0.0350877192982456,0,0.0350877192982456,0,0,0,0,0,0,0,0,0.00350877192982456,0.0350877192982456,0,0,0.00350877192982456,0,0.0385964912280702,0,0,0,0.0350877192982456,0,0,0,0.0385964912280702
"10",0.00479386385426654,0,0.00527325023969319,0.000479386385426654,0.00527325023969319,0.0292425695110259,0.00958772770853308,0,0,0,0,0.000479386385426654,0,0,0.000958772770853308,0,0,0,0.0575263662511985,0.000479386385426654,0,0,0.000479386385426654,0,0.00575263662511985,0.000479386385426654,0.00479386385426654,0.000479386385426654,0,0.000479386385426654,0.0297219558964525,0.00527325023969319,0,0,0.0431447746883988,0,0.0627996164908917,0,0,0,0.0345158197507191,0,0,0.628475551294343,0.0695110258868648
"11",0.000680966973101805,0,0.00408580183861083,0.000340483486550902,0.00374531835205993,0.00715015321756895,0.255362614913177,0.00374531835205993,0.0653728294177732,0,0,0,0,0,0.00340483486550902,0,0,0,0.0687776642832823,0.00408580183861083,0,0.000340483486550902,0.0204290091930541,0,0.0108954715696289,0,0,0,0,0,0.297242083758938,0.00680966973101805,0,0,0.0480081716036772,0,0.031324480762683,0,0,0,0.109635682669391,0,0,0.020769492679605,0.0377936670071502
"12",0.0294117647058824,0,0.294117647058824,0,0.0294117647058824,0,0,0,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0,0,0,0.294117647058824,0,0,0.294117647058824,0
"13",0.0182481751824818,0,0.0182481751824818,0,0.0182481751824818,0.0182481751824818,0.0182481751824818,0,0.00182481751824818,0,0,0,0,0,0,0,0,0,0.00182481751824818,0.0182481751824818,0,0,0,0,0,0,0,0,0,0,0.00364963503649635,0,0,0,0,0,0.0182481751824818,0,0,0,0.75,0,0,0.111313868613139,0.00364963503649635
"14",0.00793650793650794,0,0.158730158730159,0.0793650793650794,0,0.00793650793650794,0,0,0,0,0,0,0,0,0,0,0,0,0.00793650793650794,0,0,0.0793650793650794,0,0,0,0,0.0793650793650794,0,0,0,0,0,0,0,0,0,0.476190476190476,0,0,0,0.0873015873015873,0,0,0.00793650793650794,0.00793650793650794
"15",0.00325732899022801,0,0.0358306188925081,0.0325732899022801,0.0325732899022801,0.00325732899022801,0,0,0.00651465798045603,0,0,0,0,0.195439739413681,0.00325732899022801,0,0,0,0.0358306188925081,0.00325732899022801,0,0.195439739413681,0.0325732899022801,0,0.00325732899022801,0.0358306188925081,0,0,0,0,0.0456026058631922,0,0,0,0,0,0.0358306188925081,0,0,0,0.260586319218241,0,0,0,0.0390879478827362
"16",0,0,0,0.00693481276005548,0.00346740638002774,0.0208044382801664,0,0,0.00693481276005548,0,0,0,0,0.433425797503467,0,0,0,0,0.000346740638002774,0,0,0,0,0,0.00346740638002774,0,0,0,0,0.0208044382801664,0.464632454923717,0,0.000346740638002774,0,0.0208044382801664,0,0.000346740638002774,0,0,0.000346740638002774,0.00693481276005548,0,0,0.00346740638002774,0.00693481276005548
