,,Scapania_cf_subalpina,,,,,,Calliergonella_cuspidata,
,,Scapania_cuspiduligera,,,,,,Calliergonella_lindenbergii,
,,Scapania_gr_scandica,,,,,,,
,,Scapania_gymnostophila,,,,,,,
,,Scapania_paludicola,,,,,,Campylophyllum_halleri,
,,Schljakovianthus_quadrilobus,,,,,,,
,,Solenostoma_confertissimum,,,,,,Catoscopium_nigritum,
,,Solenostoma_hyalinum,,,,,,Ceratodon_purpureus,
,,Tritomaria_exsecta,,,,,,Cirriphyllum_piliferum,
,,Tritomaria_exsectiformis,,,,,,Climacium_dendroides,
,,,,,,,,Cratoneuron_curvicaule,
,,,,,,,,Cratoneuron_filicinum,
,,,,,,,,Ctenidium_molluscum,
,,,,,,,,Cyrtomnium_hymenophylloides,
,,,,,,,,Dichodontium_pellucidum,
,,,,,,,,Dicranella_grevilleana,
,,,,,,,,Dicranella_schreberiana,
,,,,,,,,Dicranella_subulata,
,,,,,,,,Dicranella_varia,
,,,,,,,,,
,,,,,,,,Dicranum_acutifolium,
,,,,,,,,Dicranum_bonjeanii,
,,,,,,,,Dicranum_dispersum,
,,,,,,,,Dicranum_scoparium,
,,,,,,,,Dicranum_septentrionale_brevifolium,
,,,,,,,,Dicranum_spadiceum,
,,,,,,,,Didymodon_asperifolius,
,,,,,,,,Didymodon_fallax,
,,,,,,,,Didymodon_ferrugineus,
,,,,,,,,Didymodon_luridus,
,,,,,,,,Didymodon_rigidulus,
,,,,,,,,Distichium_capillaceum,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,Encalypta_alpina,
,,,,,,,,Encalypta_ciliata,
,,,,,,,,Encalypta_rhaptocarpa,
,,,,,,,,Encalypta_streptocarpa,
,,,,,,,,Encalypta_vulgaris,
,,,,,,,,Entodon_concinnus,
,,,,,,,,Ephemerum_serratum,
,,,,,,,,Ephemerum_recurvifolium,
,,,,,,,,Eurhynchiastrum_diversifolium,
,,,,,,,,Eurhynchium_striatum,
,,,,,,,,Fissidens_bryoides,
,,,,,,,,Fissidens_dubius,
,,,,,,,,Fissidens_gracilifolius,
,,,,,,,,Fissidens_osmundoides,
,,,,,,,,Fissidens_taxifolius,
,,,,,,,,Fissidens_viridulus,
,,,,,,,,Grimmia_alpestris,
